"id","mean_stamen_number","norm_mean_ss","IT_meandaystoflr","SW_meandaystoflr","ril_ovule_num"
67,5.333333333,-1.14918017086526,120.5,NA,29
68,5.866666667,0.145402534633602,118.5,131.5,37
69,5.933333333,0.500716969809112,117.5,NA,36
70,6,1.13988249188633,118.333333333333,NA,37
72,5.933333333,0.500716969809112,117.333333333333,NA,29
73,5.611111111,-0.61357072056104,114.5,NA,31
74,5.2,-1.37362915777446,117.833333333333,NA,32
75,5.388888889,-1.0730760534506,116.833333333333,NA,38
77,5.333333333,-1.14918017086526,111,126.4,48
78,5.466666667,-0.896581644050448,116.5,130.333333333333,22
79,NA,NA,NA,NA,46
80,NA,NA,NA,NA,40
81,5.722222222,-0.391309603980077,120.333333333333,137,26
82,6,1.13988249188633,121.5,NA,26
84,5.916666667,0.396528975997477,118.833333333333,135,35
85,5.777777778,-0.224027338422406,118,127.75,39
86,5.944444444,0.59905988959618,114.5,127,30
87,5.833333333,-0.00482974570280406,116.333333333333,NA,46
88,5.444444444,-0.940773762562063,111,135,38
89,5.666666667,-0.514451420884401,119.5,131.285714285714,29
90,6,1.13988249188633,117.833333333333,131.571428571429,39
91,5.933333333,0.500716969809112,117.666666666667,130,34
92,5.055555556,-1.63466420343185,112.666666666667,127.5,53
93,6,1.13988249188633,120,136,31
96,5.444444444,-0.940773762562063,116.75,NA,33
99,5.777777778,-0.224027338422406,109,125.6,42
100,5.666666667,-0.514451420884401,119.333333333333,NA,43
101,5.933333333,0.500716969809112,115.666666666667,131.75,35
102,6,1.13988249188633,118,131,23.5
103,5.666666667,-0.514451420884401,122.333333333333,132.75,33
104,5.833333333,-0.00482974570280406,120.333333333333,135.285714285714,28
105,5.944444444,0.59905988959618,119.666666666667,143,28
106,5.333333333,-1.14918017086526,119.75,136.25,33
107,5.916666667,0.396528975997477,120.666666666667,133.25,28
108,5.888888889,0.268838519478982,120.333333333333,NA,22
109,6,1.13988249188633,117.666666666667,NA,27
110,6,1.13988249188633,118.166666666667,NA,33
111,5.777777778,-0.224027338422406,115.166666666667,128.333333333333,31
114,5.4,-1.03933007461747,120.333333333333,131.4,36
115,5.833333333,-0.00482974570280406,117.166666666667,137,36
116,5.8,-0.130774422330991,117.833333333333,138.8,26
117,5.8,-0.130774422330991,119.833333333333,NA,42
118,NA,NA,NA,NA,46
119,NA,NA,NA,NA,23
120,5.733333333,-0.326907355493239,119.166666666667,133.333333333333,39
121,6,1.13988249188633,117.5,NA,34
123,5.916666667,0.396528975997477,120.5,134.333333333333,43
124,6,1.13988249188633,118,NA,39
125,5.8,-0.130774422330991,118.333333333333,133.8,42
126,6,1.13988249188633,115.833333333333,126.8,20
127,5.866666667,0.145402534633602,119,NA,30
128,6,1.13988249188633,119,132.8,32.5
129,5.944444444,0.59905988959618,118.666666666667,NA,42
130,5.722222222,-0.391309603980077,116.833333333333,137,37
132,6,1.13988249188633,116.333333333333,132.333333333333,25
133,5.75,-0.283891858027877,112.25,NA,51
134,5.833333333,-0.00482974570280406,115.833333333333,NA,32
135,5.888888889,0.268838519478982,101.5,133,41
136,5.866666667,0.145402534633602,117.2,NA,45
137,5.833333333,-0.00482974570280406,120.166666666667,141.5,39
138,5.277777778,-1.25882794167362,110.833333333333,124,35
139,4.933333333,-1.79147111142778,116,NA,44
140,5.5,-0.843687721392016,118.5,134.333333333333,38
141,5.2,-1.37362915777446,120,NA,37
142,5.777777778,-0.224027338422406,115.833333333333,137.166666666667,46
143,5.466666667,-0.896581644050448,115.333333333333,128.666666666667,31
144,6,1.13988249188633,119,133.25,29
145,6,1.13988249188633,123.166666666667,137.5,42
146,5.722222222,-0.391309603980077,116,128,41
147,5.666666667,-0.514451420884401,113.166666666667,125.428571428571,35
148,5.866666667,0.145402534633602,118.833333333333,129.333333333333,27
149,5.8,-0.130774422330991,117.166666666667,126.5,32
150,6,1.13988249188633,118.833333333333,NA,36.5
151,5.888888889,0.268838519478982,116.333333333333,128.8,41
152,5.866666667,0.145402534633602,116.5,NA,23
154,6,1.13988249188633,119,133.5,36
155,6,1.13988249188633,119,137.5,31
157,5.833333333,-0.00482974570280406,115.166666666667,NA,39
158,5.416666667,-1.00272763420404,119.5,134,37
159,5.166666667,-1.43174853898677,120,136.666666666667,23
160,5.777777778,-0.224027338422406,116.666666666667,NA,31
162,5.666666667,-0.514451420884401,114.5,125.166666666667,30
163,6,1.13988249188633,115.833333333333,NA,35
165,5.416666667,-1.00272763420404,119.666666666667,137,34
167,5.666666667,-0.514451420884401,115.333333333333,131.6,35
168,6,1.13988249188633,121.666666666667,NA,48
169,5.533333333,-0.78975228996653,121.333333333333,135,29
170,5.333333333,-1.14918017086526,116.666666666667,130.6,38
171,5.305555556,-1.22233766470765,116.666666666667,130.5,41
173,5.952380952,0.651922968409291,115.333333333333,NA,39
174,5,-1.71303988412093,115,134,39
175,5.555555556,-0.741196704774636,110.666666666667,NA,40
176,5.5,-0.843687721392016,117.166666666667,132.5,47
177,5.166666667,-1.43174853898677,121.666666666667,NA,32
