QN_no6s_stamen_number,QN_mean_stamen_number,no6s_stamen_number,mean_stamen_number,id,QTL1,QTL3,QTL4,QTL5
,1.136447727,,6,351,a,a,a,a
,1.136447727,,6,352,a,b,,b
,1.136447727,,6,353,b,a,a,b
0.666401288,0.145120941,5.866666667,5.866666667,355,a,a,a,b
,1.136447727,,6,356,b,a,b,b
,1.136447727,,6,357,b,a,a,b
1.156632152,0.395725296,5.916666667,5.916666667,358,b,a,a,b
-1.078237378,-1.254623731,5.277777778,5.277777778,359,b,a,a,a
0.884755232,0.268308923,5.888888889,5.888888889,360,a,b,b,b
,,,,361,b,a,b,b
0.884755232,0.268308923,5.888888889,5.888888889,362,b,a,a,b
0.254681544,-0.130521499,5.8,5.8,364,a,b,b,b
-0.234711077,-0.513370313,5.666666667,5.666666667,366,a,a,b,a
0.433091285,-0.004820458,5.833333333,5.833333333,368,b,b,a,b
-1.113569499,-1.287049823,5.266666667,5.266666667,369,b,a,a,a
0.884755232,0.268308923,5.888888889,5.888888889,370,a,b,b,b
1.905608404,0.597760126,5.944444444,5.944444444,371,a,b,b,b
,1.136447727,,6,379,a,a,b,b
1.905608404,0.597760126,5.944444444,5.944444444,380,a,b,a,b
,1.136447727,,6,383,b,b,b,b
,1.136447727,,6,384,a,b,b,b
,1.136447727,,6,385,a,b,a,a
0.666401288,0.145120941,5.866666667,5.866666667,386,a,b,b,b
,1.136447727,,6,388,b,a,b,b
,1.136447727,,6,390,a,a,a,a
,1.136447727,,6,391,b,a,a,b
0.254681544,-0.130521499,5.8,5.8,392,a,a,b,b
-1.83160488,-1.959963985,4.866666667,4.866666667,393,a,b,a,a
,1.136447727,,6,394,b,b,b,b
1.156632152,0.395725296,5.916666667,5.916666667,395,a,b,b,b
0.433091285,-0.004820458,5.833333333,5.833333333,396,b,a,a,b
0.129569271,-0.223589258,5.777777778,5.777777778,397,b,b,a,a
,1.136447727,,6,398,b,b,a,b
,1.136447727,,6,399,b,b,b,b
,1.136447727,,6,400,b,b,a,b
0.884755232,0.268308923,5.888888889,5.888888889,401,b,b,b,b
0.884755232,0.268308923,5.888888889,5.888888889,402,b,b,b,a
1.156632152,0.395725296,5.916666667,5.916666667,403,b,b,b,b
0.884755232,0.268308923,5.888888889,5.888888889,405,b,b,a,a
-0.003230197,-0.326255876,5.733333333,5.733333333,407,a,b,b,b
,1.136447727,,6,408,b,a,a,b
,1.136447727,,6,409,b,,b,b
0.433091285,-0.004820458,5.833333333,5.833333333,410,a,b,b,a
0.433091285,-0.004820458,5.833333333,5.833333333,411,b,a,b,b
-0.797332876,-1.000005818,5.416666667,5.416666667,412,a,a,b,a
0.433091285,-0.004820458,5.833333333,5.833333333,413,b,b,,a
0.129569271,-0.223589258,5.777777778,5.777777778,414,b,a,b,b
,1.136447727,,6,415,b,b,a,b
-1.766454744,-1.898028653,4.888888889,4.888888889,416,a,a,a,a
1.450542787,0.49966967,5.933333333,5.933333333,417,b,b,a,a
-0.084083943,-0.390517596,5.722222222,5.722222222,418,a,b,a,b
0.572460101,0.086877064,5.854166667,5.854166667,420,a,b,a,a
1.450542787,0.49966967,5.933333333,5.933333333,423,b,a,b,b
,1.136447727,,6,424,a,b,a,a
-1.264123879,-1.426076872,5.166666667,5.166666667,426,a,a,a,a
-0.234711077,-0.513370313,5.666666667,5.666666667,427,b,b,a,b
0.254681544,-0.130521499,5.8,5.8,428,a,b,b,a
-1.560860364,-1.703569527,5,5,429,a,b,a,a
-0.408386844,-0.659436695,5.6,5.6,431,b,a,a,b
0.884755232,0.268308923,5.888888889,5.888888889,432,b,a,b,a
-0.618747862,-0.841621234,5.5,5.5,434,b,b,a,a
-0.501556704,-0.739480322,5.555555556,5.555555556,435,a,,b,a
-1.162960914,-1.332511066,5.222222222,5.222222222,436,a,b,b,a
-2.565279297,-2.665285106,4.583333333,4.583333333,437,a,a,a,a
0.433091285,-0.004820458,5.833333333,5.833333333,438,b,a,b,b
-0.003230197,-0.326255876,5.733333333,5.733333333,439,a,b,a,a
-1.441354576,-1.591316072,5.066666667,5.066666667,440,b,b,a,a
-0.408386844,-0.659436695,5.6,5.6,442,a,a,b,a
0.254681544,-0.130521499,5.8,5.8,443,a,b,b,b
-0.003230197,-0.326255876,5.733333333,5.733333333,444,b,a,b,a
,1.136447727,,6,445,b,b,b,b
-0.728193988,-0.938325959,5.444444444,5.444444444,446,a,b,a,b
1.905608404,0.597760126,5.944444444,5.944444444,447,a,b,b,b
-0.557304228,-0.787876017,5.533333333,5.533333333,448,a,b,a,a
-1.078237378,-1.254623731,5.277777778,5.277777778,449,a,b,a,a
,1.136447727,,6,450,b,a,b,b
,,,,451,a,a,a,a
0.749413117,0.194028142,5.883333333,5.883333333,452,a,b,a,b
-1.113569499,-1.287049823,5.266666667,5.266666667,454,b,a,a,a
0.254681544,-0.130521499,5.8,5.8,455,b,a,a,a
1.905608404,0.597760126,5.944444444,5.944444444,456,,b,a,a
1.905608404,0.597760126,5.944444444,5.944444444,457,b,a,a,a
-0.408386844,-0.659436695,5.6,5.6,458,a,a,a,a
,1.136447727,,6,459,a,b,b,b
-0.003230197,-0.326255876,5.733333333,5.733333333,460,b,b,b,a
-1.137918204,-1.309442168,5.25,5.25,461,a,b,a,a
-2.22961225,-2.341027138,4.666666667,4.666666667,462,b,a,a,a
,1.136447727,,6,463,b,b,b,b
